177	494
179	220
206	622
213	16
216	486
218	486
231	30
236	31
240	36
244	845
245	493
252	500
258	858
260	58
264	64
267	65
269	519
272	77
273	74
274	79
275	75
276	76
277	84
284	532
285	101
286	102
293	539
294	108
297	110
298	111
299	112
301	115
304	117
310	121
311	120
314	126
317	547
323	128
325	132
327	554
328	137
329	1281
330	139
335	144
337	153
338	151
343	157
345	154
346	155
351	166
352	165
354	168
357	599
365	178
367	179
373	609
377	183
381	190
384	195
385	196
387	200
391	206
399	1424
401	211
405	212
409	220
410	221
415	222
425	230
432	236
433	234
438	591
447	244
449	241
450	242
462	249
465	1343
467	253
473	255
482	259
494	266
503	722
535	79
632	477
633	830
646	838
651	491
657	854
658	504
660	855
661	857
664	859
665	516
667	860
668	515
669	518
670	523
671	524
672	867
674	526
676	530
677	356
678	531
682	534
683	876
686	536
687	878
689	540
690	118
691	545
693	544
694	542
695	883
700	563
701	557
702	558
708	147
709	570
711	571
712	572
714	576
716	574
717	377
718	573
723	589
724	590
726	588
731	596
732	597
733	594
734	595
735	601
740	604
742	607
743	606
744	615
746	613
749	621
753	929
754	217
755	625
760	224
765	636
766	228
767	229
768	640
771	639
774	644
775	646
778	648
779	240
781	649
783	650
792	655
794	248
795	662
796	250
797	664
801	676
802	674
803	260
806	261
808	265
809	986
815	697
824	1377
829	771
893	795
903	1114
927	833
928	834
931	839
935	1066
936	1067
938	1065
939	1064
940	1196
942	852
943	853
949	1073
950	862
954	1076
958	871
960	874
961	1079
962	872
963	873
968	881
973	884
974	886
980	891
981	893
982	894
983	895
985	897
991	586
993	905
994	909
995	907
996	611
998	184
1000	617
1001	618
1004	921
1008	924
1012	927
1013	928
1015	933
1016	630
1017	631
1018	934
1019	634
1021	632
1023	643
1024	642
1025	645
1026	939
1027	647
1028	653
1030	656
1031	657
1034	660
1039	666
1040	671
1042	956
1044	957
1046	675
1047	958
1058	692
1076	875
1112	494
1138	853
1139	1071
1140	1201
1144	1204
1146	1074
1148	1075
1149	1076
1151	1077
1159	1211
1160	885
1162	1086
1163	892
1165	1087
1167	1088
1173	903
1175	1096
1180	1099
1181	1101
1182	1102
1184	920
1185	1104
1186	1105
1188	1106
1189	1108
1191	1111
1192	926
1193	1113
1195	1114
1200	942
1201	943
1202	1119
1204	1120
1205	947
1206	949
1207	1124
1208	950
1209	953
1210	954
1211	951
1216	1130
1217	1131
1236	895
1264	1273
1265	1277
1266	1195
1267	1197
1269	1199
1270	1200
1271	1202
1272	1280
1274	1206
1275	1212
1277	1284
1278	1213
1281	1214
1282	1215
1284	1220
1287	1222
1288	1292
1292	1226
1294	1230
1295	1231
1296	1232
1297	1107
1298	1237
1299	1238
1300	1302
1301	1240
1303	1242
1304	1117
1305	1118
1307	1122
1309	1125
1313	1136
1314	1134
1315	1137
1318	792
1330	1339
1336	1278
1340	1344
1341	1346
1342	1347
1345	1282
1349	1285
1350	1219
1352	1289
1353	1290
1354	1286
1355	1287
1356	1291
1357	1351
1358	1293
1359	1225
1360	1224
1361	1294
1363	1228
1366	1297
1368	1298
1369	1233
1371	1299
1372	1300
1374	1236
1375	1303
1376	1241
1377	1242
1379	1244
1382	1247
1384	1308
1385	1248
1386	1249
1388	529
1389	1310
1391	1311
1392	1314
1393	1135
1402	1020
1412	1343
1413	1186
1415	1348
1416	1350
1417	1349
1418	1351
1419	1352
1420	1294
1424	1353
1426	1304
1428	1354
1429	1306
1432	1309
1433	1127
1434	1311
1435	1312
1437	1313
1458	1374
1459	1375
1460	1376
1461	1378
1462	1379
1469	1411
1471	1393
1472	1396
1473	1397
1475	1400
1476	1380
1484	1424
1485	1412
1487	1414
1489	1416
1492	1417
1493	1400
1497	888
1498	1437
1499	1425
1500	1426
1501	1427
